id,x,y,width,height
01TG7VOg4F90jXv3a1yCgA,0,0,2592,2496
01uTaEF0YlcBgNwaSS9iIl,96,0,2592,2496
02XyFDfvHfIwtqOC3o0PcK,0,96,2592,2496
03GKkfyog7hnllilFS3jIV,96,96,2592,2496
03zfU3IwWmymKoaWnwFNaY,192,0,2592,2496
04FfqGvZJ9oUBGRVrq2FE5,192,96,2592,2496
04VRfesff9bgDA2Q8J2oDo,0,192,2592,2496
05n0d2kfwGPhKpTonLHRpY,96,192,2592,2496
097eYvf9NKjFnv4xA9s2oV,192,192,2592,2496
09AwlP99cHfKVNKv4FC8VW,288,0,2592,2496
09jTPeDoSuJLLAwFGNUKCX,288,96,2592,2496
0A13JySVHzBoRZFk2o89Wl,288,192,2592,2496
0B6BbyElOe4bwziJrunOTe,0,288,2592,2496
0BiNb8HYR4JvuxUa31Z58Q,96,288,2592,2496
0C2grVR8DnJnL8rg7OP6Zm,192,288,2592,2496
0CoNLgOwcZGBUSwd9fAZuy,288,288,2592,2496
0DFYbYCcHCEJPcN1hODG6K,384,0,2592,2496
0DQyTVcDhK9wm0f6RaErWO,384,96,2592,2496
0ETFjACtuP2ADo6LFhL6HN,384,192,2592,2496
0EabZMx74C2wyXhvMMO1eI,384,288,2592,2496
0Em8m9kRctyH9S3MTXAHvY,0,384,2592,2496
0FZK97MXMm5mUQ8mtudjuK,96,384,2592,2496
0GqpoHJREPp0iuXK3HzrHk,192,384,2592,2496
0HHRIVjvBcnTepfeRVgS2f,288,384,2592,2496
0HMsmYvoT1h2x1C4di5faf,384,384,2592,2496
0JwHz5SSvpYWuuCNbtYZoV,480,0,2592,2496
0KBdfMTMxi0oD1oVqApTjr,480,96,2592,2496
0KFPnm4Ow2L9BuivmWT3pu,480,192,2592,2496
0Lg1uZvI312TPqxNWShFXL,480,288,2592,2496
0MWrKayUshRuT8maG4ZAOU,480,384,2592,2496
0NGM3Ftwjw0dLNpAowmz3x,0,480,2592,2496
0NJYYhhvOATAkUipSJEBDb,96,480,2592,2496
0OHDiDMyxzWJfwtoeHNCf4,192,480,2592,2496
0OeuSeP8wp8n8OuTqYb61C,288,480,2592,2496
0OhNZ7R4dOqtDPLGp0jBAZ,384,480,2592,2496
0P3oVJBFOv3TDXlYRhGL7s,480,480,2592,2496
0PMasrHdpaoIRuHuhHp72O,576,0,2592,2496
0PT5m6hwPRrpBwIHVnvbFX,576,96,2592,2496
0PnzJO3D4i85ALVJPaDpru,576,192,2592,2496
0RHX9XECH8IVI3LNgWDpmQ,576,288,2592,2496
0Rzg7fqyWE39G6wKipxrns,576,384,2592,2496
0S0KGZnfBGSIssfF54WSJh,576,480,2592,2496
0TfUvdJAj5ggwaLihQQ5qs,0,576,2592,2496
0UM9SydcBtsklCTFgGLvcT,96,576,2592,2496
0WfED1nqBzTMxv0NvnUNjf,192,576,2592,2496
0Y5Wlv2OJKaW0uDJ5HnUfy,288,576,2592,2496
0Y7qkJVZ06tS2GUCDptzyW,384,576,2592,2496
0YS25Dr3hMtMFlVTfuvzl4,480,576,2592,2496
