id,x,y,width,height
01TG7VOg4F90jXv3a1yCgA,256,200,1728,1672
01uTaEF0YlcBgNwaSS9iIl,320,0,1728,1672
02XyFDfvHfIwtqOC3o0PcK,320,64,1728,1672
03GKkfyog7hnllilFS3jIV,256,1609,1728,1672
03zfU3IwWmymKoaWnwFNaY,320,128,1728,1672
04FfqGvZJ9oUBGRVrq2FE5,320,192,1728,1672
04VRfesff9bgDA2Q8J2oDo,0,265,1728,1672
05n0d2kfwGPhKpTonLHRpY,64,265,1728,1672
097eYvf9NKjFnv4xA9s2oV,128,265,1728,1672
09AwlP99cHfKVNKv4FC8VW,192,265,1728,1672
09jTPeDoSuJLLAwFGNUKCX,1536,1545,1728,1672
0A13JySVHzBoRZFk2o89Wl,1600,1545,1728,1672
0B6BbyElOe4bwziJrunOTe,256,265,1728,1672
0BiNb8HYR4JvuxUa31Z58Q,320,265,1728,1672
0C2grVR8DnJnL8rg7OP6Zm,384,0,1728,1672
0CoNLgOwcZGBUSwd9fAZuy,192,0,1728,1672
0DFYbYCcHCEJPcN1hODG6K,384,64,1728,1672
0DQyTVcDhK9wm0f6RaErWO,384,128,1728,1672
0ETFjACtuP2ADo6LFhL6HN,384,192,1728,1672
0EabZMx74C2wyXhvMMO1eI,384,256,1728,1672
0Em8m9kRctyH9S3MTXAHvY,0,329,1728,1672
0FZK97MXMm5mUQ8mtudjuK,64,329,1728,1672
0GqpoHJREPp0iuXK3HzrHk,128,329,1728,1672
0HHRIVjvBcnTepfeRVgS2f,192,329,1728,1672
0HMsmYvoT1h2x1C4di5faf,256,329,1728,1672
0JwHz5SSvpYWuuCNbtYZoV,320,329,1728,1672
0KBdfMTMxi0oD1oVqApTjr,384,329,1728,1672
0KFPnm4Ow2L9BuivmWT3pu,448,0,1728,1672
0Lg1uZvI312TPqxNWShFXL,448,64,1728,1672
0MWrKayUshRuT8maG4ZAOU,448,128,1728,1672
0NGM3Ftwjw0dLNpAowmz3x,448,192,1728,1672
0NJYYhhvOATAkUipSJEBDb,448,256,1728,1672
0OHDiDMyxzWJfwtoeHNCf4,448,320,1728,1672
0OeuSeP8wp8n8OuTqYb61C,0,393,1728,1672
0OhNZ7R4dOqtDPLGp0jBAZ,64,393,1728,1672
0P3oVJBFOv3TDXlYRhGL7s,128,393,1728,1672
0PMasrHdpaoIRuHuhHp72O,192,393,1728,1672
0PT5m6hwPRrpBwIHVnvbFX,256,393,1728,1672
0PnzJO3D4i85ALVJPaDpru,320,393,1728,1672
0RHX9XECH8IVI3LNgWDpmQ,384,393,1728,1672
0Rzg7fqyWE39G6wKipxrns,448,393,1728,1672
0S0KGZnfBGSIssfF54WSJh,512,0,1728,1672
0TfUvdJAj5ggwaLihQQ5qs,512,64,1728,1672
0UM9SydcBtsklCTFgGLvcT,512,128,1728,1672
0WfED1nqBzTMxv0NvnUNjf,192,65,1728,1672
0Y5Wlv2OJKaW0uDJ5HnUfy,512,192,1728,1672
