id,x,y,width,height
04VRfesff9bgDA2Q8J2oDo,192,0,1728,1537
097eYvf9NKjFnv4xA9s2oV,384,0,1728,1537
0B6BbyElOe4bwziJrunOTe,0,193,1728,1537
0DFYbYCcHCEJPcN1hODG6K,192,193,1728,1537
0ETFjACtuP2ADo6LFhL6HN,384,193,1728,1537
0OeuSeP8wp8n8OuTqYb61C,576,0,1728,1537
0Y5Wlv2OJKaW0uDJ5HnUfy,576,192,1728,1537
0ky5kdvfPxSmSpj03hpSAE,0,385,1728,1537
12n11cgnpjXKLeqrnIERoS,192,385,1728,1537
18tV6PLXYvVjsdOVk0S7M8,384,385,1728,1537
1BZoqf8Zje5nGdwZhOjAtD,576,385,1728,1537
1J8QW9qsMLx3staWaHpQmU,768,0,1728,1537
1JvXxLsm0PxlGH4LXzqMGq,768,192,1728,1537
1Rj1daFzMlYzLv7lJl14hz,768,384,1728,1537
1bt6q2SruMsBtcerNVtpZB,0,577,1728,1537
1jWmEhn3ggaL6isoyLfwBn,192,577,1728,1537
1klALx0u4AavZNEvC4LrTL,384,577,1728,1537
1lPoRKSgZHQAYXxzBsOQ7v,576,577,1728,1537
1p12OAWwudgMqfMzjMvl2a,768,577,1728,1537
1weenld61qoidwYuZ1GESA,960,0,1728,1537
20r762YmB5HeofjMCiPMLv,960,192,1728,1537
2ANVost0y2y52ema1E9xAZ,960,384,1728,1537
2CNEkSE8TADXRT2AzcEt1b,960,576,1728,1537
2HTbQ0RHwukKVXAlTmCZP2,0,769,1728,1537
2QuHyvguNhl5kfdoE17RRe,192,769,1728,1537
2V5rhszUpCudPcb01zevOt,384,769,1728,1537
2ZytN2cY4Zjrr9ukb2rqTP,576,769,1728,1537
2amHBpP8C0EUy6yBNy6nN6,768,769,1728,1537
2guirTSEqLizK7j9i1MTTZ,960,769,1728,1537
2lO9yuuIDgBpSJzxTh3ai8,1152,0,1728,1537
2v6ANhWhZBUKkg6pJJBs3B,1152,192,1728,1537
2widuo17g5CEC66IbzveRu,1152,384,1728,1537
3KzAvEXcqJKBF97HrXwlgf,1152,576,1728,1537
3PRoXYsngSwjEQWR5PsHWR,1152,768,1728,1537
3ToX9inehiXTv17hpaOyie,0,961,1728,1537
3kEtdS2pH6hKcMU9Wioob1,192,961,1728,1537
43YIoHKSrEw2GJsWmhZIpu,384,961,1728,1537
47hOpZQfXVIRzTiv0Ef8pO,576,961,1728,1537
48D1hRORqJq52qsnUYZX56,768,961,1728,1537
4LH4d3cOWNNsVw41Gqt2kv,960,961,1728,1537
4NP1rhnsPdYpnyJP0p0k0L,1152,961,1728,1537
4WD4pslu83FF6oMa1e19mF,1344,0,1728,1537
4WoQ94qzwQj28n3nlSOVLB,1344,192,1728,1537
4hQtcgvaybCqBsTrfiL1jC,1344,384,1728,1537
4pG3bKkbmReDt5QTDn3JDz,1344,576,1728,1537
4vXFiaDS8zuEl5bOUbW53x,1344,768,1728,1537
4xwx0x7k6c5VuThz5qVqmV,960,1345,1728,1537
50o7kf2wLwVmOTVYJOTplm,1344,960,1728,1537
5U4dnRZsfW8NmwBBkELFPh,0,1153,1728,1537
5WndWfzGwCkHzAbQXVkg2V,192,1153,1728,1537
5ceB3rxgXqIRpsOvVzTG28,384,1153,1728,1537
5fxYu3rqjCNTSPKN8mtEl2,576,1153,1728,1537
5jgI8Eminx9MmLBontDWq8,1344,1345,1728,1537
5mQnSrc0cFV6greyhJJIR6,768,1153,1728,1537
5vBZRYu2GLA65nfxBvG1a7,960,1153,1728,1537
69CmkikTHkGKdkrUZTtyWl,1152,1345,1728,1537
6FCzvataOZh68j8OKzOt9a,1152,1153,1728,1537
6GjwtEZcfenmOf6l18N7T7,1344,1153,1728,1537
6QaVfG1pHYl1z15ZxkvVDW,1536,0,1728,1537
6QwHn86Rw53qli3Y6b41Rd,1536,192,1728,1537
6YUCc2RiXcEKS9ibuZxjt0,1536,384,1728,1537
6YabPKtZAjxwyWbuO9p4ZD,1536,576,1728,1537
6acGx168JViE5LLFR1rGRE,1536,768,1728,1537
6dVIqQ8qmQ5GBnJ9shOYGE,1536,960,1728,1537
7Eoz7hJvaX1eFkbpQxC5PA,1536,1152,1728,1537
7dK54iZuOxXFarGhXwEXfF,0,1345,1728,1537
7nXJ5k4XgRj5OLg9m8V3zc,192,1345,1728,1537
7rSZXXHHvIhF4yUFdaOCy9,384,1345,1728,1537
7ycBtnsMtyVbbwTfJwRjSP,576,1345,1728,1537
NOS001,768,1345,1728,1537
NOS004,0,0,1728,1537
NOS122,1536,1345,1728,1537
